TrackingTiming,PointMatchingTiming,TrackedPoints,TotalPoints,MissingPoints,CostMatrixTiming,EstimationDisplacementTiming,EstimationExtrapolationTiming,EstimationSpringTiming
2.3313,5.4963,192,192,0,4.4259,0.0007,0.0007,0.0094
2.273,5.5475,192,192,0,4.4643,0.0007,0.0005,0.0097
2.3482,5.4837,192,192,0,4.4141,0.0007,0.0007,0.0102
2.2904,5.5283,192,192,0,4.4431,0.0005,0.0005,0.0089
2.2865,5.528,192,192,0,4.4441,0.0005,0.0005,0.0099
2.2801,5.5339,192,192,0,4.4587,0.0007,0.0007,0.0089
2.3533,5.6501,192,192,0,4.5644,0.0005,0.0007,0.0102
2.8377,5.5175,192,192,0,4.4346,0.0005,0.0005,0.0099
2.3055,5.5062,192,192,0,4.4333,0.0005,0.0007,0.0097
2.3318,5.484,192,192,0,4.4126,0.0005,0.0005,0.0097
2.2881,5.5101,192,192,0,4.4331,0.0005,0.0005,0.0092
2.5937,5.996,192,192,0,4.8788,0.0007,0.0005,0.0102
2.3208,6.0305,192,192,0,4.909,0.0005,0.0005,0.0092
2.3088,5.6737,192,192,0,4.5698,0.0005,0.0005,0.0117
2.5517,5.5631,192,192,0,4.4628,0.0005,0.0005,0.0099
2.742,5.5426,192,192,0,4.4607,0.0005,0.0005,0.0094
2.2602,5.4804,192,192,0,4.4157,0.0007,0.0005,0.0097
2.3357,5.5155,192,192,0,4.4438,0.0007,0.0007,0.0094
2.3249,5.7443,192,192,0,4.6133,0.0007,0.0007,0.0102
2.2978,5.5549,192,192,0,4.4712,0.0007,0.0005,0.0094
2.295,5.5823,192,192,0,4.4961,0.0007,0.0005,0.0097
2.284,5.5436,192,192,0,4.4612,0.0007,0.0005,0.0092
2.3183,5.5034,192,192,0,4.43,0.0005,0.0007,0.0102
2.2837,5.561,192,192,0,4.4679,0.0005,0.0005,0.0094
2.3787,5.5357,192,192,0,4.4628,0.0007,0.0005,0.0117
2.7717,5.5805,192,192,0,4.4971,0.0005,0.0007,0.0102
2.294,5.561,192,192,0,4.4692,0.0007,0.0005,0.0092
2.3027,5.5521,192,192,0,4.4661,0.0007,0.0005,0.0094
2.3034,5.7307,192,192,0,4.6171,0.0007,0.0005,0.0094
2.638,5.5367,192,192,0,4.4546,0.0005,0.0005,0.0102
2.3119,5.5144,192,192,0,4.44,0.0007,0.0005,0.0102
2.3137,5.517,192,192,0,4.4385,0.0005,0.0007,0.0102
2.2927,5.5649,192,192,0,4.4715,0.0005,0.0007,0.0094
2.3016,5.5482,192,192,0,4.4694,0.0005,0.0007,0.0089
2.3162,5.6437,192,192,0,4.5409,0.0005,0.0007,0.0133
2.2955,5.551,192,192,0,4.4699,0.0005,0.0007,0.0094
2.7624,5.5539,192,192,0,4.4699,0.0005,0.0007,0.0087
2.3055,5.549,192,192,0,4.4505,0.0005,0.0005,0.0107
2.2937,5.5408,192,192,0,4.4651,0.0005,0.0007,0.0097
2.296,5.54,192,192,0,4.4636,0.0005,0.0005,0.0092
2.3014,5.5016,192,192,0,4.4223,0.0007,0.0007,0.0102
2.3139,5.506,192,192,0,4.4295,0.0005,0.0007,0.0097
2.3206,5.5029,192,192,0,4.4326,0.0005,0.0007,0.0097
3.7882,5.7359,192,192,0,4.5926,0.0005,0.0005,0.0099
2.9419,5.5999,192,192,0,4.5109,0.0005,0.0005,0.0092
2.2942,5.5475,192,192,0,4.4659,0.0005,0.0005,0.0092
2.2881,5.54,192,192,0,4.4554,0.0005,0.0005,0.0133
2.2699,5.5446,192,192,0,4.471,0.0005,0.0007,0.0092
2.3352,5.5021,192,192,0,4.4259,0.0005,0.0005,0.0097
2.3341,5.5853,192,192,0,4.45,0.0005,0.0005,0.0107
2.2648,5.6079,192,192,0,4.5025,0.0005,0.0005,0.0092
2.329,5.5108,192,192,0,4.4362,0.0005,0.0005,0.0099
2.3249,5.5178,192,192,0,4.4354,0.0005,0.0007,0.0097
2.3482,5.5267,192,192,0,4.4331,0.0007,0.0007,0.0184
2.3213,5.5052,192,192,0,4.4344,0.0005,0.0005,0.0094
2.3267,5.5126,192,192,0,4.429,0.0005,0.0007,0.0099
2.284,5.6514,192,192,0,4.4838,0.0005,0.0005,0.0099
2.2942,5.5239,192,192,0,4.4515,0.0005,0.0005,0.0112
3.8069,8.3599,192,192,0,6.4808,0.001,0.0007,0.0138
2.5712,5.517,192,192,0,4.4397,0.0005,0.0005,0.0097
2.3065,5.5334,192,192,0,4.4538,0.0005,0.0005,0.0094
2.4639,5.4996,192,192,0,4.4282,0.0005,0.0005,0.0092
2.3052,5.5208,192,192,0,4.4364,0.0005,0.0005,0.0181
2.3311,5.4952,192,192,0,4.4218,0.0007,0.0005,0.0099
2.3188,5.4991,192,192,0,4.4211,0.0005,0.0005,0.0102
2.7768,5.559,192,192,0,4.4827,0.0007,0.0005,0.0089
2.306,5.495,192,192,0,4.4221,0.0007,0.0005,0.0099
2.307,5.559,192,192,0,4.4687,0.0005,0.0005,0.0125
2.413,5.6125,192,192,0,4.5255,0.0005,0.0007,0.0092
2.2794,5.5464,192,192,0,4.4638,0.0005,0.0007,0.0102
2.3152,5.5375,192,192,0,4.4648,0.0007,0.0005,0.0092
2.2904,5.5503,192,192,0,4.473,0.0005,0.0007,0.0092
2.3126,5.5464,192,192,0,4.4607,0.0005,0.0005,0.0094
2.275,5.9978,192,192,0,4.4459,0.0005,0.0007,0.0092
2.5681,5.7648,192,192,0,4.6771,0.0005,0.0005,0.0094
2.3526,5.5283,192,192,0,4.45,0.0005,0.0005,0.0087
2.3032,5.5654,192,192,0,4.4636,0.0005,0.0007,0.0097
2.3078,5.538,192,192,0,4.4538,0.0007,0.0007,0.011
2.2719,5.5357,192,192,0,4.4523,0.0005,0.0005,0.0094
2.3045,5.5654,192,192,0,4.4579,0.0005,0.0007,0.0094
2.2765,5.6107,192,192,0,4.5017,0.0005,0.0005,0.0094
2.2955,5.5308,192,192,0,4.4546,0.0007,0.0005,0.0092
2.3091,5.5126,192,192,0,4.4157,0.0005,0.0007,0.011
2.2732,5.5413,192,192,0,4.4615,0.0005,0.0007,0.0092
2.2801,5.5382,192,192,0,4.4541,0.0005,0.0005,0.0092
2.3014,5.4886,192,192,0,4.4134,0.0007,0.0005,0.0092
2.3116,5.5093,192,192,0,4.4382,0.0007,0.0005,0.0104
2.3173,5.5016,192,192,0,4.4316,0.0005,0.0007,0.0094
2.3201,5.528,192,192,0,4.4618,0.0005,0.0007,0.0107
2.6242,5.8874,192,192,0,4.7572,0.0005,0.0007,0.0227
2.3167,5.5354,192,192,0,4.4584,0.0005,0.0005,0.0089
2.3119,5.5019,192,192,0,4.4259,0.0005,0.0005,0.0102
2.3247,5.5224,192,192,0,4.4392,0.0005,0.0007,0.0127
2.3126,5.5359,192,192,0,4.4513,0.0007,0.0005,0.0089
2.3088,5.5364,192,192,0,4.4574,0.0007,0.0005,0.0125
2.372,5.4965,192,192,0,4.428,0.0005,0.0005,0.0092
2.3388,5.4924,192,192,0,4.4234,0.0005,0.0005,0.0092
2.3224,5.5067,192,192,0,4.4221,0.0007,0.0005,0.0094
2.2904,5.5449,192,192,0,4.4687,0.0007,0.0005,0.0087
2.3469,5.505,192,192,0,4.4313,0.0005,0.0007,0.0094
