Run,Model,Location,Intensity,Direction,Value,Occlusions
3,Displacement,center,Light,xz+,0.011630, 2 
3,Extrapolation,center,Light,xz+,0.043636, 2 
3,Spring,center,Light,xz+,0.084442, 2 
3,Baseline,center,Light,xz+,0.010973, 2 
4,Displacement,center,Light,xz+,0.015172, 2 
4,Extrapolation,center,Light,xz+,0.049125, 2 
4,Spring,center,Light,xz+,0.090641, 2 
4,Baseline,center,Light,xz+,0.015940, 2 
5,Displacement,center,Light,xz+,0.018100, 2 
5,Extrapolation,center,Light,xz+,0.048274, 2 
5,Spring,center,Light,xz+,0.096739, 2 
5,Baseline,center,Light,xz+,0.023292, 2 
6,Displacement,center,Light,xz+,0.018823, 2 
6,Extrapolation,center,Light,xz+,0.045605, 2 
6,Spring,center,Light,xz+,0.100592, 2 
6,Baseline,center,Light,xz+,0.029985, 2 
7,Displacement,center,Light,xz+,0.025504, 2 
7,Extrapolation,center,Light,xz+,0.049469, 2 
7,Spring,center,Light,xz+,0.106325, 2 
7,Baseline,center,Light,xz+,0.042362, 2 
8,Displacement,center,Light,xz+,0.026162, 2 
8,Extrapolation,center,Light,xz+,0.044173, 2 
8,Spring,center,Light,xz+,0.108354, 2 
8,Baseline,center,Light,xz+,0.050858, 2 
9,Displacement,center,Light,xz+,0.027543, 2 
9,Extrapolation,center,Light,xz+,0.046024, 2 
9,Spring,center,Light,xz+,0.110133, 2 
9,Baseline,center,Light,xz+,0.057550, 2 
10,Displacement,center,Light,xz+,0.030807, 2 
10,Extrapolation,center,Light,xz+,0.044376, 2 
10,Spring,center,Light,xz+,0.112270, 2 
10,Baseline,center,Light,xz+,0.065764, 2 
1,Displacement,center,Medium,xz+,0.035585, 2 
1,Extrapolation,center,Medium,xz+,0.046023, 2 
1,Spring,center,Medium,xz+,0.116269, 2 
1,Baseline,center,Medium,xz+,0.075567, 2 
2,Displacement,center,Medium,xz+,0.038361, 2 
2,Extrapolation,center,Medium,xz+,0.047034, 2 
2,Spring,center,Medium,xz+,0.119375, 2 
2,Baseline,center,Medium,xz+,0.082585, 2 
3,Displacement,center,Medium,xz+,0.041922, 2 
3,Extrapolation,center,Medium,xz+,0.048161, 2 
3,Spring,center,Medium,xz+,0.123007, 2 
3,Baseline,center,Medium,xz+,0.090795, 2 
4,Displacement,center,Medium,xz+,0.048971, 2 
4,Extrapolation,center,Medium,xz+,0.050579, 2 
4,Spring,center,Medium,xz+,0.129134, 2 
4,Baseline,center,Medium,xz+,0.102598, 2 
5,Displacement,center,Medium,xz+,0.051516, 2 
5,Extrapolation,center,Medium,xz+,0.054704, 2 
5,Spring,center,Medium,xz+,0.132689, 2 
5,Baseline,center,Medium,xz+,0.109343, 2 
6,Displacement,center,Medium,xz+,0.051728, 2 
6,Extrapolation,center,Medium,xz+,0.056170, 2 
6,Spring,center,Medium,xz+,0.135190, 2 
6,Baseline,center,Medium,xz+,0.113642, 2 
7,Displacement,center,Medium,xz+,0.064686, 2 
7,Extrapolation,center,Medium,xz+,0.061104, 2 
7,Spring,center,Medium,xz+,0.145019, 2 
7,Baseline,center,Medium,xz+,0.128838, 2 
8,Displacement,center,Medium,xz+,0.075272, 2 
8,Extrapolation,center,Medium,xz+,0.072764, 2 
8,Spring,center,Medium,xz+,0.155127, 2 
8,Baseline,center,Medium,xz+,0.142616, 2 
9,Displacement,center,Medium,xz+,0.083520, 2 
9,Extrapolation,center,Medium,xz+,0.079254, 2 
9,Spring,center,Medium,xz+,0.163828, 2 
9,Baseline,center,Medium,xz+,0.154590, 2 
10,Displacement,center,Medium,xz+,0.084662, 2 
10,Extrapolation,center,Medium,xz+,0.078718, 2 
10,Spring,center,Medium,xz+,0.167480, 2 
