Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
8,Baseline,center,Medium,xyz+,0.160909,2,True
9,Displacement,center,Medium,xyz+,0.108335,2,True
9,Extrapolation,center,Medium,xyz+,0.073953,2,True
9,Spring,center,Medium,xyz+,0.093534,2,True
9,Baseline,center,Medium,xyz+,0.172422,2,True
10,Displacement,center,Medium,xyz+,0.113553,2,True
10,Extrapolation,center,Medium,xyz+,0.072497,2,True
10,Spring,center,Medium,xyz+,0.102395,2,True
10,Baseline,center,Medium,xyz+,0.185429,2,True
1,Displacement,center,Strong,xyz+,0.116084,2,True
1,Extrapolation,center,Strong,xyz+,0.071048,2,True
1,Spring,center,Strong,xyz+,0.104678,2,True
1,Baseline,center,Strong,xyz+,0.195112,2,True
2,Displacement,center,Strong,xyz+,0.120888,2,True
2,Extrapolation,center,Strong,xyz+,0.073365,2,True
2,Spring,center,Strong,xyz+,0.114772,2,True
2,Baseline,center,Strong,xyz+,0.203474,2,True
3,Displacement,center,Strong,xyz+,0.127714,2,True
3,Extrapolation,center,Strong,xyz+,0.077506,2,True
3,Spring,center,Strong,xyz+,0.126859,2,True
3,Baseline,center,Strong,xyz+,0.213389,2,True
4,Displacement,center,Strong,xyz+,0.128255,2,True
4,Extrapolation,center,Strong,xyz+,0.075689,2,True
4,Spring,center,Strong,xyz+,0.127942,2,True
4,Baseline,center,Strong,xyz+,0.217792,2,True
5,Displacement,center,Strong,xyz+,0.108195,3,True
5,Extrapolation,center,Strong,xyz+,0.079962,3,True
5,Spring,center,Strong,xyz+,0.106956,3,True
5,Baseline,center,Strong,xyz+,0.189929,3,True
6,Displacement,center,Strong,xyz+,0.104428,3,True
6,Extrapolation,center,Strong,xyz+,0.067920,3,True
6,Spring,center,Strong,xyz+,0.103666,3,True
6,Baseline,center,Strong,xyz+,0.192120,3,True
7,Displacement,center,Strong,xyz+,0.110137,3,True
7,Extrapolation,center,Strong,xyz+,0.069151,3,True
7,Spring,center,Strong,xyz+,0.107798,3,True
7,Baseline,center,Strong,xyz+,0.202752,3,True
8,Displacement,center,Strong,xyz+,0.116145,3,True
8,Extrapolation,center,Strong,xyz+,0.073169,3,True
8,Spring,center,Strong,xyz+,0.109547,3,True
8,Baseline,center,Strong,xyz+,0.211652,3,True
9,Displacement,center,Strong,xyz+,0.124321,3,True
