Run,Model,Location,Intensity,Direction,Value,Occlusions
9,Extrapolation,center,Medium,xyz-,0.078368, 3 
9,Spring,center,Medium,xyz-,0.142976, 3 
10,Displacement,center,Medium,xyz-,0.126175, 3 
10,Extrapolation,center,Medium,xyz-,0.100009, 3 
10,Spring,center,Medium,xyz-,0.162611, 3 
1,Displacement,center,Strong,xyz-,0.137292, 3 
1,Extrapolation,center,Strong,xyz-,0.107394, 3 
1,Spring,center,Strong,xyz-,0.177327, 3 
2,Displacement,center,Strong,xyz-,0.150497, 3 
2,Extrapolation,center,Strong,xyz-,0.117759, 3 
2,Spring,center,Strong,xyz-,0.194874, 3 
3,Displacement,center,Strong,xyz-,0.162739, 3 
3,Extrapolation,center,Strong,xyz-,0.129447, 3 
3,Spring,center,Strong,xyz-,0.211251, 3 
4,Displacement,center,Strong,xyz-,0.163485, 3 
4,Extrapolation,center,Strong,xyz-,0.128561, 3 
4,Spring,center,Strong,xyz-,0.217743, 3 
5,Displacement,center,Strong,xyz-,0.171321, 3 
5,Extrapolation,center,Strong,xyz-,0.134215, 3 
5,Spring,center,Strong,xyz-,0.228534, 3 
6,Displacement,center,Strong,xyz-,0.169982, 3 
6,Extrapolation,center,Strong,xyz-,0.131113, 3 
6,Spring,center,Strong,xyz-,0.228432, 3 
7,Displacement,center,Strong,xyz-,0.173546, 3 
7,Extrapolation,center,Strong,xyz-,0.135376, 3 
7,Spring,center,Strong,xyz-,0.231691, 3 
8,Displacement,center,Strong,xyz-,0.183286, 3 
8,Extrapolation,center,Strong,xyz-,0.141669, 3 
8,Spring,center,Strong,xyz-,0.245319, 3 
9,Displacement,center,Strong,xyz-,0.180932, 3 
9,Extrapolation,center,Strong,xyz-,0.137695, 3 
9,Spring,center,Strong,xyz-,0.243223, 3 
10,Displacement,center,Strong,xyz-,0.186116, 3 
10,Extrapolation,center,Strong,xyz-,0.142990, 3 
10,Spring,center,Strong,xyz-,0.247588, 3 
1,Displacement,center,Light,xz+,0.000000, 2 
1,Extrapolation,center,Light,xz+,0.035011, 2 
1,Spring,center,Light,xz+,0.071821, 2 
2,Displacement,center,Light,xz+,0.007063, 2 
2,Extrapolation,center,Light,xz+,0.039258, 2 
2,Spring,center,Light,xz+,0.078342, 2 
3,Displacement,center,Light,xz+,0.011630, 2 
3,Extrapolation,center,Light,xz+,0.043636, 2 
3,Spring,center,Light,xz+,0.084442, 2 
4,Displacement,center,Light,xz+,0.015172, 2 
4,Extrapolation,center,Light,xz+,0.049125, 2 
4,Spring,center,Light,xz+,0.090641, 2 
5,Displacement,center,Light,xz+,0.018100, 2 
5,Extrapolation,center,Light,xz+,0.048274, 2 
5,Spring,center,Light,xz+,0.096739, 2 
6,Displacement,center,Light,xz+,0.018823, 2 
6,Extrapolation,center,Light,xz+,0.045605, 2 
6,Spring,center,Light,xz+,0.100592, 2 
7,Displacement,center,Light,xz+,0.025504, 2 
7,Extrapolation,center,Light,xz+,0.049469, 2 
7,Spring,center,Light,xz+,0.106325, 2 
8,Displacement,center,Light,xz+,0.026162, 2 
8,Extrapolation,center,Light,xz+,0.044173, 2 
8,Spring,center,Light,xz+,0.108354, 2 
9,Displacement,center,Light,xz+,0.027543, 2 
9,Extrapolation,center,Light,xz+,0.046024, 2 
9,Spring,center,Light,xz+,0.110133, 2 
10,Displacement,center,Light,xz+,0.030807, 2 
10,Extrapolation,center,Light,xz+,0.044376, 2 
10,Spring,center,Light,xz+,0.112270, 2 
1,Displacement,center,Medium,xz+,0.035585, 2 
1,Extrapolation,center,Medium,xz+,0.046023, 2 
1,Spring,center,Medium,xz+,0.116269, 2 
2,Displacement,center,Medium,xz+,0.038361, 2 
2,Extrapolation,center,Medium,xz+,0.047034, 2 
2,Spring,center,Medium,xz+,0.119375, 2 
